Version,Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Forward-Fill,"RF (n=200, depth=None)",0.8869658247652099,0.5285740541206906,0.28903486776742204,0.3735036968249465,0.771122671423691
Forward-Fill,"RF (n=100, depth=None)",0.8864074845561225,0.5241668361872851,0.2866419075554715,0.37044037690888476,0.7683668904526859
Mean Imputation,"RF (n=200, depth=None)",0.8859252574945717,0.5205960878858303,0.2857706864739556,0.3687534637634219,0.7711580046558234
Mean Imputation,"RF (n=100, depth=None)",0.8856207533765266,0.5180196505547242,0.2846842030562521,0.3672141096663965,0.770213835713275
Mean Imputation,LR (C=10.0),0.8964826025711133,0.6617049813255672,0.23140369967355823,0.3427172254185284,0.7922037439718274
Forward-Fill,LR (C=1.0),0.8964826090121008,0.6624510592176127,0.23075128920849694,0.3420878244552208,0.7922167336048036
Forward-Fill,LR (C=10.0),0.8963810893899546,0.6604889540293591,0.23096844396082697,0.34207903879893764,0.7920777227797132
Mean Imputation,LR (C=1.0),0.8963557118997885,0.6605325059551252,0.23053342480011355,0.3416061731417378,0.7922754308261231
Forward-Fill,LR (C=0.1),0.8969393941736117,0.672538844417906,0.2283569096844396,0.34066319800094,0.7921833232819795
Mean Imputation,LR (C=0.1),0.8967109871006347,0.6680358470491302,0.22857430098878745,0.3404031590377019,0.7922033059777035
Mean Imputation,"RF (n=200, depth=10)",0.8963303344096223,0.6651344359779395,0.2261775559445522,0.33711455545348185,0.8007300283504986
Forward-Fill,"RF (n=200, depth=10)",0.8962034340768165,0.6627787602138341,0.22595898188011546,0.336570169668435,0.8005987770602596
